00:00:00.100 --> 00:00:00.200,73.0013576374342,19.149798647687,0
00:00:00.200 --> 00:00:00.300,73.0013303223442,19.1500956213994,0
00:00:00.300 --> 00:00:00.400,73.0013305470159,19.1501428979884,0
00:00:00.400 --> 00:00:00.500,73.0013307073652,19.1501766591184,0
00:00:00.500 --> 00:00:00.600,73.0013237667764,19.1502171171023,0
00:00:00.600 --> 00:00:00.700,73.0013238634045,19.1502373660278,0
00:00:00.700 --> 00:00:00.800,73.0013241210525,19.1502913527416,0
00:00:00.800 --> 00:00:00.900,73.0013242497297,19.1503183394098,0
00:00:00.900 --> 00:00:01.0,73.0013245395325,19.1503790439667,0
00:00:01.000 --> 00:00:01.100,73.0013246361163,19.1503992738985,0
00:00:01.100 --> 00:00:01.200,73.0013248935098,19.1504532098349,0
00:00:01.200 --> 00:00:01.300,73.0013251185583,19.1505003897055,0
00:00:01.300 --> 00:00:01.400,73.0013252150391,19.1505206054205,0
00:00:01.400 --> 00:00:01.500,73.0013253125824,19.1505475211213,0
00:00:01.500 --> 00:00:01.600,73.0013466273199,19.1505743649857,0
00:00:01.600 --> 00:00:01.700,73.0013536904077,19.1506011309639,0
00:00:01.700 --> 00:00:01.800,73.0013607533328,19.1506278988906,0
00:00:01.800 --> 00:00:01.900,73.0013891466955,19.150674826062,0
00:00:01.900 --> 00:00:02.0,73.0014104753212,19.1506882837499,0
00:00:02.000 --> 00:00:02.100,73.0014529906077,19.1507485402403,0
00:00:02.100 --> 00:00:02.200,73.0014813497851,19.1507820286448,0
00:00:02.200 --> 00:00:02.300,73.0015026159482,19.15080881586,0
00:00:02.300 --> 00:00:02.400,73.0015309758709,19.1508423056302,0
00:00:02.400 --> 00:00:02.500,73.0015522290198,19.1508757792096,0
00:00:02.500 --> 00:00:02.600,73.0015947774109,19.1509226723494,0
00:00:02.600 --> 00:00:02.700,73.0016160452986,19.1509494621428,0
00:00:02.700 --> 00:00:02.800,73.0016444200496,19.150976267783,0
00:00:02.800 --> 00:00:02.900,73.0016585819311,19.1510030431116,0
00:00:02.900 --> 00:00:03.0,73.0016940259965,19.1510499242457,0
00:00:03.000 --> 00:00:03.100,73.0017152956288,19.1510767160729,0
00:00:03.100 --> 00:00:03.200,73.0017294474108,19.15111018236,0
00:00:03.200 --> 00:00:03.300,73.0017506586586,19.1511704185499,0
00:00:03.300 --> 00:00:03.400,73.0017506112769,19.1511971749897,0
00:00:03.400 --> 00:00:03.500,73.0017505402688,19.1512373134775,0
00:00:03.500 --> 00:00:03.600,73.0017504928565,19.1512640750904,0
00:00:03.600 --> 00:00:03.700,73.0017504098224,19.1513109128957,0
00:00:03.700 --> 00:00:03.800,73.001750374054,19.1513309883289,0
00:00:03.800 --> 00:00:03.900,73.0017431824839,19.151377824047,0
00:00:03.900 --> 00:00:04.0,73.0017360138062,19.1514112795855,0
00:00:04.000 --> 00:00:04.100,73.0017288562179,19.1514380444636,0
00:00:04.100 --> 00:00:04.200,73.0017145757574,19.1514714970722,0
00:00:04.200 --> 00:00:04.300,73.0017002685571,19.1515183461803,0
00:00:04.300 --> 00:00:04.400,73.0016717351889,19.1515651848922,0
00:00:04.400 --> 00:00:04.500,73.0016574471502,19.1515986546915,0
00:00:04.500 --> 00:00:04.600,73.0016431569165,19.1516321293994,0
00:00:04.600 --> 00:00:04.700,73.0016288256677,19.151685707958,0
00:00:04.700 --> 00:00:04.800,73.0016145311022,19.1517191941378,0
00:00:04.800 --> 00:00:04.900,73.0016073631076,19.1517459908198,0
00:00:04.900 --> 00:00:05.0,73.0016001812254,19.1517794919896,0
00:00:05.000 --> 00:00:05.100,73.001571594855,19.1518397902726,0
00:00:05.100 --> 00:00:05.200,73.0015644096735,19.1518733030956,0
00:00:05.200 --> 00:00:05.300,73.0015572233457,19.1519068197929,0
00:00:05.300 --> 00:00:05.400,73.0015429670886,19.1519403523312,0
00:00:05.400 --> 00:00:05.500,73.001535848499,19.1519671890872,0
00:00:05.500 --> 00:00:05.600,73.0015216109735,19.152020864096,0
00:00:05.600 --> 00:00:05.700,73.0015073728721,19.1520544089386,0
00:00:05.700 --> 00:00:05.800,73.0015073727198,19.1520678305778,0
00:00:05.800 --> 00:00:05.900,73.0014931342376,19.1521013766967,0
00:00:05.900 --> 00:00:06.0,73.0014788945762,19.1521886130079,0
00:00:06.000 --> 00:00:06.100,73.0014432935845,19.1523161154144,0
00:00:06.100 --> 00:00:06.200,73.0013863237039,19.1525711568714,0
00:00:06.200 --> 00:00:06.300,73.0013791570773,19.1525980097811,0
00:00:06.300 --> 00:00:06.400,73.0013510006629,19.1527791859317,0
00:00:06.400 --> 00:00:06.500,73.0012877065851,19.1532016978495,0
00:00:06.500 --> 00:00:06.600,73.0012434244499,19.1535583084723,0
00:00:06.600 --> 00:00:06.700,73.0012427466367,19.1536930896559,0
00:00:06.700 --> 00:00:06.800,73.0012425770545,19.1537268014762,0
00:00:06.800 --> 00:00:06.900,73.0012424075335,19.1537605198137,0
00:00:06.900 --> 00:00:07.0,73.0012421700101,19.1538077364775,0
00:00:07.000 --> 00:00:07.100,73.0012419324589,19.1538549659923,0
00:00:07.100 --> 00:00:07.200,73.001241525118,19.1539359610996,0
00:00:07.200 --> 00:00:07.300,73.0012413044157,19.1539832108013,0
00:00:07.300 --> 00:00:07.400,73.0012412024176,19.1540236413679,0
00:00:07.400 --> 00:00:07.500,73.0012410152933,19.1540977765297,0
00:00:07.500 --> 00:00:07.600,73.0012409132166,19.1541382204156,0
00:00:07.600 --> 00:00:07.700,73.0012407600579,19.1541988954803,0
